BENZENE,1.98355329036713,2.92799854278564,2.98350739479065,2.98350739479065,2.98350739479065,2.98350739479065,2.98410868644714
BUT1ENE,3.30456519126892,3.46375203132629,3.46375203132629,3.46375203132629,3.46375203132629,3.4831907749176,3.52475357055664
C2H4,1.8863422870636,2.0696427822113,2.0696427822113,2.0696427822113,2.0696427822113,2.07264375686646,2.08638072013855
C2H6,0.111162938177586,0.292778968811035,0.460029631853104,0.608330190181732,0.740731239318848,0.859967947006226,0.968616485595703
C3H6,3.2463595867157,3.4194610118866,3.4194610118866,3.4194610118866,3.4194610118866,3.4194610118866,3.42128849029541
C3H8,0.336308509111404,0.728284955024719,1.01956295967102,1.23700153827667,1.40590667724609,1.54356718063354,1.66133534908295
EBENZ,1.88909840583801,2.78856992721558,2.84143543243408,2.84143543243408,2.84143543243408,2.84143543243408,2.84200811386108
IC4H10,0.875131726264954,1.9445333480835,2.66201829910278,3.06578922271729,3.26124835014343,3.34619379043579,3.38395357131958
IC5H12,1.09391462802887,2.43066668510437,3.32752275466919,3.83223628997803,4.07656049728394,4.18274259567261,4.22994232177734
ISOP,4.24120569229126,4.29355144500732,4.29355144500732,4.29355144500732,4.29355144500732,4.29355144500732,4.29833269119263
MEPROPENE,3.30456519126892,3.46375203132629,3.46375203132629,3.46375203132629,3.46375203132629,3.4831907749176,3.52475357055664
MXYL,1.88909840583801,2.78856992721558,2.84143543243408,2.84143543243408,2.84143543243408,2.84143543243408,2.84200811386108
NC4H10,0.875131726264954,1.9445333480835,2.66201829910278,3.06578922271729,3.26124835014343,3.34619379043579,3.38395357131958
NC5H12,1.09391462802887,2.43066668510437,3.32752275466919,3.83223628997803,4.07656049728394,4.18274259567261,4.22994232177734
NC6H14,1.31269764900208,2.91680002212524,3.99302744865417,4.59868383407593,4.89187288284302,5.01929092407227,5.07593059539795
NC7H16,1.53148055076599,3.4029335975647,4.65853214263916,5.36513137817383,5.70718479156494,5.85583925247192,5.92191886901855
NC8H18,1.75026345252991,3.88906669616699,5.32403659820557,6.13157844543457,6.52249670028687,6.69238758087158,6.76790714263916
OXYL,1.88909840583801,2.78856992721558,2.84143543243408,2.84143543243408,2.84143543243408,2.84143543243408,2.84200811386108
PXYL,1.88909840583801,2.78856992721558,2.84143543243408,2.84143543243408,2.84143543243408,2.84143543243408,2.84200811386108
TOLUENE,1.65296113491058,2.43999886512756,2.48625636100769,2.48625636100769,2.48625636100769,2.48625636100769,2.48675751686096
